Date,Time,Menu Item,Category,Quantity,Price (per item),Revenue,Payment Method,Customer Type
14/07/2023,03:52 AM,Gelato,Dessert,4,4.5,18,Mobile Payment,Delivery
24/05/2023,12:50 AM,Caprese Salad,Appetizer,1,8,8,Mobile Payment,Delivery
16/08/2023,04:36 PM,Margherita Pizza,Main Course,2,10,20,Mobile Payment,Dine-In
13/06/2023,05:32 PM,Tiramisu,Dessert,8,6.5,52,Credit Card,Delivery
30/09/2023,12:15 AM,Tiramisu,Dessert,7,6.5,45.5,Mobile Payment,Delivery
19/04/2023,11:23 PM,Gelato,Dessert,6,4.5,27,Credit Card,Delivery
25/12/2023,02:51 PM,Tiramisu,Dessert,9,6.5,58.5,Credit Card,Takeaway
18/06/2023,01:17 AM,Tiramisu,Dessert,3,6.5,19.5,Credit Card,Dine-In
08/05/2023,07:02 PM,Tiramisu,Dessert,2,6.5,13,Credit Card,Takeaway
27/07/2023,01:14 PM,Minestrone Soup,Appetizer,9,7,63,Cash,Takeaway
09/01/2023,01:17 PM,Tiramisu,Dessert,4,6.5,26,Credit Card,Delivery
12/11/2023,02:09 AM,Panna Cotta,Dessert,4,5.5,22,Mobile Payment,Dine-In
02/07/2023,05:09 PM,Tiramisu,Dessert,7,6.5,45.5,Mobile Payment,Takeaway
06/11/2023,02:57 AM,Lasagna,Main Course,3,11.5,34.5,Cash,Takeaway
04/12/2023,01:03 AM,Minestrone Soup,Appetizer,6,7,42,Mobile Payment,Dine-In
10/03/2023,01:20 PM,Caprese Salad,Appetizer,5,8,40,Mobile Payment,Dine-In
01/06/2023,11:07 PM,Fettuccine Alfredo,Main Course,2,13,26,Mobile Payment,Delivery
13/03/2023,04:12 AM,Margherita Pizza,Main Course,8,10,80,Mobile Payment,Delivery
20/07/2023,06:20 PM,Caprese Salad,Appetizer,4,8,32,Cash,Dine-In
25/06/2023,07:13 AM,Gelato,Dessert,1,4.5,4.5,Credit Card,Dine-In
04/04/2023,07:32 AM,Panna Cotta,Dessert,10,5.5,55,Credit Card,Dine-In
02/04/2023,10:54 PM,Panna Cotta,Dessert,3,5.5,16.5,Mobile Payment,Takeaway
26/11/2023,06:45 PM,Tiramisu,Dessert,8,6.5,52,Mobile Payment,Dine-In
08/05/2023,03:21 AM,Bruschetta,Appetizer,3,5,15,Cash,Takeaway
01/07/2023,04:22 AM,Bruschetta,Appetizer,4,5,20,Cash,Delivery
05/02/2023,06:36 AM,Fettuccine Alfredo,Main Course,1,13,13,Cash,Takeaway
11/11/2023,10:30 PM,Lasagna,Main Course,6,11.5,69,Credit Card,Delivery
17/10/2023,12:26 PM,Fettuccine Alfredo,Main Course,1,13,13,Credit Card,Dine-In
09/06/2023,08:24 AM,Bruschetta,Appetizer,2,5,10,Cash,Takeaway
09/03/2023,11:11 PM,Fettuccine Alfredo,Main Course,4,13,52,Cash,Takeaway
02/07/2023,10:25 AM,Minestrone Soup,Appetizer,6,7,42,Credit Card,Dine-In
26/11/2023,08:42 PM,Tiramisu,Dessert,2,6.5,13,Credit Card,Delivery
10/04/2023,08:59 AM,Tiramisu,Dessert,5,6.5,32.5,Credit Card,Delivery
19/11/2023,01:03 AM,Panna Cotta,Dessert,5,5.5,27.5,Cash,Delivery
18/04/2023,01:15 AM,Caprese Salad,Appetizer,2,8,16,Mobile Payment,Delivery
29/08/2023,10:19 PM,Spaghetti Carbonara,Main Course,10,12,120,Cash,Dine-In
28/10/2023,09:55 AM,Spaghetti Carbonara,Main Course,3,12,36,Mobile Payment,Delivery
16/02/2023,01:32 PM,Fettuccine Alfredo,Main Course,3,13,39,Credit Card,Delivery
02/05/2023,08:57 PM,Spaghetti Carbonara,Main Course,2,12,24,Credit Card,Takeaway
22/03/2023,06:06 AM,Panna Cotta,Dessert,9,5.5,49.5,Mobile Payment,Dine-In
04/09/2023,12:14 PM,Margherita Pizza,Main Course,9,10,90,Cash,Dine-In
02/02/2023,09:01 AM,Fettuccine Alfredo,Main Course,3,13,39,Credit Card,Delivery
15/04/2023,05:40 PM,Fettuccine Alfredo,Main Course,9,13,117,Cash,Takeaway
24/01/2023,01:21 AM,Fettuccine Alfredo,Main Course,7,13,91,Mobile Payment,Delivery
20/11/2023,09:20 AM,Lasagna,Main Course,5,11.5,57.5,Mobile Payment,Delivery
30/03/2023,12:51 PM,Gelato,Dessert,5,4.5,22.5,Mobile Payment,Delivery
09/02/2023,05:38 PM,Lasagna,Main Course,9,11.5,103.5,Credit Card,Delivery
26/07/2023,12:02 PM,Fettuccine Alfredo,Main Course,9,13,117,Cash,Delivery
04/01/2023,05:07 PM,Spaghetti Carbonara,Main Course,7,12,84,Credit Card,Dine-In
09/02/2023,05:33 PM,Lasagna,Main Course,5,11.5,57.5,Credit Card,Dine-In
21/03/2023,12:21 PM,Panna Cotta,Dessert,5,5.5,27.5,Mobile Payment,Dine-In
31/07/2023,11:16 AM,Tiramisu,Dessert,7,6.5,45.5,Mobile Payment,Takeaway
02/09/2023,07:11 AM,Panna Cotta,Dessert,4,5.5,22,Mobile Payment,Takeaway
12/01/2023,08:19 AM,Margherita Pizza,Main Course,8,10,80,Mobile Payment,Delivery
23/03/2023,04:35 AM,Caprese Salad,Appetizer,4,8,32,Mobile Payment,Dine-In
29/01/2023,05:40 AM,Lasagna,Main Course,8,11.5,92,Mobile Payment,Takeaway
02/11/2023,07:14 PM,Margherita Pizza,Main Course,7,10,70,Credit Card,Dine-In
17/08/2023,08:42 PM,Minestrone Soup,Appetizer,2,7,14,Credit Card,Dine-In
29/07/2023,08:30 PM,Spaghetti Carbonara,Main Course,3,12,36,Credit Card,Delivery
03/12/2023,05:26 PM,Lasagna,Main Course,5,11.5,57.5,Mobile Payment,Delivery
24/06/2023,03:28 PM,Panna Cotta,Dessert,3,5.5,16.5,Credit Card,Dine-In
12/07/2023,01:09 PM,Spaghetti Carbonara,Main Course,5,12,60,Credit Card,Dine-In
24/09/2023,05:12 PM,Gelato,Dessert,7,4.5,31.5,Mobile Payment,Dine-In
31/03/2023,04:14 PM,Panna Cotta,Dessert,2,5.5,11,Credit Card,Delivery
14/09/2023,04:00 AM,Tiramisu,Dessert,10,6.5,65,Mobile Payment,Dine-In
04/11/2023,06:24 PM,Margherita Pizza,Main Course,9,10,90,Mobile Payment,Takeaway
08/07/2023,01:28 AM,Caprese Salad,Appetizer,7,8,56,Credit Card,Takeaway
14/07/2023,11:57 AM,Panna Cotta,Dessert,5,5.5,27.5,Credit Card,Takeaway
09/03/2023,08:41 AM,Minestrone Soup,Appetizer,2,7,14,Credit Card,Takeaway
02/11/2023,06:33 PM,Gelato,Dessert,3,4.5,13.5,Credit Card,Dine-In
29/12/2023,12:14 AM,Panna Cotta,Dessert,3,5.5,16.5,Credit Card,Delivery
04/01/2023,12:48 PM,Bruschetta,Appetizer,10,5,50,Cash,Takeaway
24/02/2023,05:16 AM,Gelato,Dessert,8,4.5,36,Cash,Takeaway
01/10/2023,02:27 PM,Panna Cotta,Dessert,10,5.5,55,Mobile Payment,Takeaway
14/12/2023,01:33 PM,Bruschetta,Appetizer,6,5,30,Mobile Payment,Delivery
04/09/2023,06:06 AM,Fettuccine Alfredo,Main Course,4,13,52,Mobile Payment,Takeaway
09/05/2023,10:28 AM,Panna Cotta,Dessert,6,5.5,33,Mobile Payment,Takeaway
11/03/2023,10:30 PM,Tiramisu,Dessert,5,6.5,32.5,Cash,Delivery
23/03/2023,03:25 AM,Bruschetta,Appetizer,7,5,35,Cash,Takeaway
08/10/2023,08:57 PM,Margherita Pizza,Main Course,6,10,60,Cash,Delivery
03/01/2023,03:06 AM,Spaghetti Carbonara,Main Course,9,12,108,Mobile Payment,Takeaway
15/02/2023,02:11 AM,Lasagna,Main Course,8,11.5,92,Cash,Dine-In
07/11/2023,01:17 AM,Gelato,Dessert,9,4.5,40.5,Mobile Payment,Delivery
23/09/2023,09:46 AM,Panna Cotta,Dessert,8,5.5,44,Credit Card,Delivery
10/09/2023,02:59 PM,Margherita Pizza,Main Course,4,10,40,Mobile Payment,Delivery
26/05/2023,06:38 AM,Margherita Pizza,Main Course,4,10,40,Mobile Payment,Delivery
23/12/2023,07:54 AM,Panna Cotta,Dessert,5,5.5,27.5,Mobile Payment,Dine-In
03/07/2023,08:09 AM,Margherita Pizza,Main Course,5,10,50,Credit Card,Takeaway
23/07/2023,12:03 PM,Gelato,Dessert,6,4.5,27,Mobile Payment,Dine-In
22/09/2023,12:31 AM,Tiramisu,Dessert,8,6.5,52,Mobile Payment,Takeaway
13/10/2023,07:53 PM,Fettuccine Alfredo,Main Course,2,13,26,Cash,Dine-In
06/11/2023,06:38 AM,Minestrone Soup,Appetizer,7,7,49,Mobile Payment,Dine-In
13/05/2023,05:58 AM,Gelato,Dessert,10,4.5,45,Credit Card,Delivery
07/02/2023,05:10 PM,Lasagna,Main Course,3,11.5,34.5,Credit Card,Delivery
11/05/2023,06:21 PM,Panna Cotta,Dessert,9,5.5,49.5,Mobile Payment,Takeaway
12/07/2023,07:13 PM,Minestrone Soup,Appetizer,1,7,7,Cash,Takeaway
14/12/2023,03:43 PM,Panna Cotta,Dessert,6,5.5,33,Cash,Dine-In
12/05/2023,02:18 AM,Gelato,Dessert,6,4.5,27,Mobile Payment,Delivery
27/04/2023,10:46 AM,Gelato,Dessert,7,4.5,31.5,Mobile Payment,Delivery
05/01/2023,11:55 PM,Lasagna,Main Course,9,11.5,103.5,Cash,Dine-In
23/07/2023,10:59 PM,Fettuccine Alfredo,Main Course,10,13,130,Mobile Payment,Dine-In
31/08/2023,10:42 AM,Fettuccine Alfredo,Main Course,4,13,52,Mobile Payment,Takeaway
03/04/2023,11:19 PM,Bruschetta,Appetizer,10,5,50,Mobile Payment,Dine-In
30/04/2023,08:15 AM,Lasagna,Main Course,5,11.5,57.5,Credit Card,Dine-In
07/05/2023,09:06 PM,Fettuccine Alfredo,Main Course,1,13,13,Credit Card,Dine-In
10/02/2023,11:04 PM,Minestrone Soup,Appetizer,3,7,21,Credit Card,Delivery
22/01/2023,04:27 PM,Fettuccine Alfredo,Main Course,1,13,13,Cash,Takeaway
21/10/2023,09:22 AM,Minestrone Soup,Appetizer,3,7,21,Mobile Payment,Takeaway
22/07/2023,07:34 AM,Panna Cotta,Dessert,8,5.5,44,Credit Card,Delivery
04/08/2023,04:19 PM,Caprese Salad,Appetizer,6,8,48,Mobile Payment,Takeaway
20/07/2023,11:25 PM,Spaghetti Carbonara,Main Course,7,12,84,Credit Card,Delivery
22/09/2023,03:42 PM,Fettuccine Alfredo,Main Course,2,13,26,Credit Card,Delivery
17/04/2023,12:57 PM,Panna Cotta,Dessert,8,5.5,44,Cash,Takeaway
09/11/2023,08:51 AM,Spaghetti Carbonara,Main Course,9,12,108,Cash,Dine-In
17/05/2023,04:05 PM,Panna Cotta,Dessert,9,5.5,49.5,Cash,Dine-In
12/09/2023,02:28 PM,Bruschetta,Appetizer,3,5,15,Mobile Payment,Takeaway
05/07/2023,01:40 PM,Lasagna,Main Course,7,11.5,80.5,Credit Card,Delivery
08/03/2023,07:39 PM,Bruschetta,Appetizer,4,5,20,Mobile Payment,Takeaway
30/04/2023,06:57 PM,Gelato,Dessert,7,4.5,31.5,Credit Card,Dine-In
17/03/2023,04:08 PM,Margherita Pizza,Main Course,4,10,40,Cash,Takeaway
09/03/2023,09:31 PM,Caprese Salad,Appetizer,1,8,8,Mobile Payment,Takeaway
06/09/2023,10:14 AM,Lasagna,Main Course,7,11.5,80.5,Mobile Payment,Dine-In
22/07/2023,03:22 AM,Spaghetti Carbonara,Main Course,7,12,84,Credit Card,Takeaway
31/08/2023,09:29 PM,Tiramisu,Dessert,8,6.5,52,Mobile Payment,Takeaway
13/05/2023,12:19 PM,Fettuccine Alfredo,Main Course,8,13,104,Mobile Payment,Takeaway
25/06/2023,12:40 AM,Gelato,Dessert,6,4.5,27,Cash,Delivery
06/11/2023,06:47 AM,Panna Cotta,Dessert,7,5.5,38.5,Mobile Payment,Delivery
02/10/2023,05:57 AM,Lasagna,Main Course,6,11.5,69,Cash,Delivery
18/09/2023,04:38 PM,Minestrone Soup,Appetizer,4,7,28,Cash,Delivery
26/05/2023,03:49 PM,Spaghetti Carbonara,Main Course,1,12,12,Mobile Payment,Takeaway
03/08/2023,09:32 PM,Panna Cotta,Dessert,10,5.5,55,Cash,Dine-In
10/02/2023,05:31 AM,Fettuccine Alfredo,Main Course,10,13,130,Cash,Takeaway
30/11/2023,09:56 AM,Lasagna,Main Course,6,11.5,69,Mobile Payment,Takeaway
18/05/2023,03:11 PM,Fettuccine Alfredo,Main Course,2,13,26,Mobile Payment,Takeaway
30/07/2023,05:42 AM,Spaghetti Carbonara,Main Course,9,12,108,Credit Card,Delivery
30/04/2023,10:35 PM,Lasagna,Main Course,8,11.5,92,Credit Card,Dine-In
22/07/2023,03:30 AM,Tiramisu,Dessert,8,6.5,52,Cash,Delivery
28/01/2023,12:53 AM,Gelato,Dessert,10,4.5,45,Credit Card,Dine-In
14/05/2023,09:05 PM,Spaghetti Carbonara,Main Course,9,12,108,Mobile Payment,Takeaway
07/06/2023,07:49 AM,Bruschetta,Appetizer,4,5,20,Cash,Delivery
05/03/2023,04:28 AM,Caprese Salad,Appetizer,9,8,72,Credit Card,Dine-In
05/12/2023,12:10 PM,Fettuccine Alfredo,Main Course,3,13,39,Cash,Delivery
19/05/2023,06:43 PM,Minestrone Soup,Appetizer,10,7,70,Mobile Payment,Delivery
31/03/2023,08:10 PM,Panna Cotta,Dessert,5,5.5,27.5,Mobile Payment,Delivery
21/11/2023,07:15 PM,Gelato,Dessert,1,4.5,4.5,Mobile Payment,Delivery
30/09/2023,10:34 AM,Fettuccine Alfredo,Main Course,8,13,104,Mobile Payment,Dine-In
15/02/2023,03:04 PM,Lasagna,Main Course,10,11.5,115,Cash,Takeaway
20/03/2023,10:21 AM,Margherita Pizza,Main Course,10,10,100,Mobile Payment,Dine-In
25/06/2023,09:47 AM,Minestrone Soup,Appetizer,3,7,21,Credit Card,Delivery
08/09/2023,04:17 PM,Lasagna,Main Course,3,11.5,34.5,Cash,Takeaway
01/11/2023,07:53 AM,Margherita Pizza,Main Course,5,10,50,Cash,Dine-In
29/07/2023,07:08 PM,Gelato,Dessert,9,4.5,40.5,Credit Card,Dine-In
26/11/2023,01:18 PM,Gelato,Dessert,3,4.5,13.5,Cash,Dine-In
04/08/2023,09:20 PM,Bruschetta,Appetizer,2,5,10,Mobile Payment,Delivery
16/12/2023,09:16 AM,Lasagna,Main Course,9,11.5,103.5,Cash,Takeaway
06/04/2023,02:20 AM,Spaghetti Carbonara,Main Course,8,12,96,Cash,Dine-In
22/11/2023,03:32 PM,Panna Cotta,Dessert,2,5.5,11,Cash,Delivery
14/11/2023,04:47 PM,Bruschetta,Appetizer,4,5,20,Credit Card,Dine-In
26/01/2023,06:15 PM,Margherita Pizza,Main Course,2,10,20,Credit Card,Takeaway
17/05/2023,04:16 AM,Minestrone Soup,Appetizer,9,7,63,Credit Card,Dine-In
18/03/2023,12:30 AM,Minestrone Soup,Appetizer,8,7,56,Cash,Takeaway
08/06/2023,05:00 PM,Fettuccine Alfredo,Main Course,10,13,130,Mobile Payment,Dine-In
18/06/2023,02:44 AM,Spaghetti Carbonara,Main Course,3,12,36,Cash,Takeaway
06/02/2023,06:32 PM,Minestrone Soup,Appetizer,10,7,70,Credit Card,Takeaway
14/07/2023,12:25 AM,Tiramisu,Dessert,9,6.5,58.5,Cash,Takeaway
06/05/2023,01:08 AM,Bruschetta,Appetizer,10,5,50,Mobile Payment,Dine-In
23/09/2023,10:43 PM,Bruschetta,Appetizer,6,5,30,Cash,Delivery
08/06/2023,11:01 AM,Spaghetti Carbonara,Main Course,8,12,96,Mobile Payment,Delivery
23/09/2023,04:10 AM,Lasagna,Main Course,5,11.5,57.5,Mobile Payment,Takeaway
11/04/2023,12:18 PM,Margherita Pizza,Main Course,2,10,20,Credit Card,Dine-In
20/11/2023,02:49 PM,Fettuccine Alfredo,Main Course,1,13,13,Credit Card,Takeaway
26/10/2023,04:05 AM,Gelato,Dessert,8,4.5,36,Credit Card,Dine-In
24/10/2023,11:34 PM,Minestrone Soup,Appetizer,8,7,56,Credit Card,Takeaway
15/02/2023,08:29 AM,Spaghetti Carbonara,Main Course,4,12,48,Credit Card,Delivery
12/11/2023,11:33 AM,Margherita Pizza,Main Course,6,10,60,Cash,Delivery
19/03/2023,11:56 PM,Caprese Salad,Appetizer,1,8,8,Credit Card,Takeaway
29/04/2023,10:48 AM,Caprese Salad,Appetizer,4,8,32,Cash,Delivery
08/04/2023,12:43 AM,Gelato,Dessert,5,4.5,22.5,Mobile Payment,Dine-In
08/05/2023,01:20 AM,Minestrone Soup,Appetizer,2,7,14,Mobile Payment,Takeaway
04/10/2023,11:47 PM,Minestrone Soup,Appetizer,3,7,21,Mobile Payment,Dine-In
05/10/2023,11:52 AM,Fettuccine Alfredo,Main Course,10,13,130,Cash,Delivery
10/10/2023,05:28 AM,Tiramisu,Dessert,7,6.5,45.5,Credit Card,Takeaway
31/05/2023,08:59 AM,Caprese Salad,Appetizer,9,8,72,Cash,Dine-In
22/11/2023,05:16 PM,Gelato,Dessert,5,4.5,22.5,Credit Card,Delivery
05/07/2023,09:10 PM,Bruschetta,Appetizer,7,5,35,Mobile Payment,Dine-In
03/12/2023,06:23 PM,Gelato,Dessert,2,4.5,9,Mobile Payment,Delivery
11/09/2023,06:49 PM,Spaghetti Carbonara,Main Course,9,12,108,Cash,Takeaway
28/07/2023,09:52 PM,Fettuccine Alfredo,Main Course,1,13,13,Credit Card,Delivery
03/12/2023,02:16 AM,Margherita Pizza,Main Course,6,10,60,Credit Card,Dine-In
13/04/2023,03:39 AM,Minestrone Soup,Appetizer,2,7,14,Credit Card,Dine-In
19/10/2023,09:54 PM,Gelato,Dessert,4,4.5,18,Mobile Payment,Delivery
25/12/2023,08:08 PM,Lasagna,Main Course,8,11.5,92,Cash,Dine-In
06/11/2023,02:25 AM,Margherita Pizza,Main Course,6,10,60,Mobile Payment,Takeaway
10/02/2023,03:58 PM,Margherita Pizza,Main Course,5,10,50,Mobile Payment,Delivery
31/07/2023,12:35 PM,Margherita Pizza,Main Course,3,10,30,Cash,Delivery
21/01/2023,02:24 AM,Lasagna,Main Course,4,11.5,46,Credit Card,Delivery
19/02/2023,03:27 AM,Bruschetta,Appetizer,9,5,45,Cash,Dine-In
08/04/2023,05:57 PM,Bruschetta,Appetizer,1,5,5,Mobile Payment,Dine-In
12/10/2023,07:03 PM,Gelato,Dessert,8,4.5,36,Mobile Payment,Delivery
02/07/2023,11:01 PM,Minestrone Soup,Appetizer,5,7,35,Credit Card,Dine-In
02/04/2023,06:46 PM,Gelato,Dessert,2,4.5,9,Cash,Delivery
21/03/2023,06:13 PM,Panna Cotta,Dessert,7,5.5,38.5,Cash,Takeaway
08/10/2023,11:04 AM,Fettuccine Alfredo,Main Course,9,13,117,Mobile Payment,Takeaway
14/06/2023,08:46 PM,Bruschetta,Appetizer,1,5,5,Mobile Payment,Dine-In
11/07/2023,06:46 PM,Lasagna,Main Course,5,11.5,57.5,Cash,Takeaway
22/07/2023,12:00 AM,Margherita Pizza,Main Course,9,10,90,Mobile Payment,Dine-In
22/09/2023,04:36 AM,Lasagna,Main Course,7,11.5,80.5,Cash,Dine-In
19/04/2023,10:44 AM,Margherita Pizza,Main Course,1,10,10,Mobile Payment,Delivery
11/10/2023,07:28 PM,Panna Cotta,Dessert,3,5.5,16.5,Credit Card,Dine-In
23/08/2023,12:08 PM,Spaghetti Carbonara,Main Course,1,12,12,Cash,Takeaway
25/10/2023,08:31 AM,Bruschetta,Appetizer,9,5,45,Cash,Dine-In
19/10/2023,01:38 PM,Panna Cotta,Dessert,5,5.5,27.5,Mobile Payment,Dine-In
15/06/2023,04:28 PM,Spaghetti Carbonara,Main Course,4,12,48,Mobile Payment,Delivery
22/10/2023,03:15 AM,Panna Cotta,Dessert,10,5.5,55,Credit Card,Delivery
22/10/2023,01:01 PM,Tiramisu,Dessert,4,6.5,26,Cash,Takeaway
10/08/2023,02:13 PM,Tiramisu,Dessert,5,6.5,32.5,Mobile Payment,Delivery
04/11/2023,12:23 AM,Gelato,Dessert,6,4.5,27,Cash,Delivery
22/01/2023,10:53 AM,Caprese Salad,Appetizer,3,8,24,Credit Card,Takeaway
14/09/2023,11:49 PM,Bruschetta,Appetizer,8,5,40,Credit Card,Delivery
20/07/2023,03:12 PM,Panna Cotta,Dessert,6,5.5,33,Mobile Payment,Dine-In
23/04/2023,02:44 PM,Lasagna,Main Course,8,11.5,92,Credit Card,Dine-In
21/06/2023,02:49 AM,Minestrone Soup,Appetizer,10,7,70,Mobile Payment,Dine-In
07/10/2023,01:37 PM,Lasagna,Main Course,5,11.5,57.5,Cash,Delivery
10/08/2023,11:49 PM,Spaghetti Carbonara,Main Course,10,12,120,Cash,Delivery
11/04/2023,04:39 PM,Gelato,Dessert,7,4.5,31.5,Credit Card,Delivery
11/11/2023,05:53 PM,Bruschetta,Appetizer,5,5,25,Credit Card,Takeaway
08/08/2023,11:02 AM,Panna Cotta,Dessert,2,5.5,11,Credit Card,Delivery
30/07/2023,02:27 PM,Fettuccine Alfredo,Main Course,10,13,130,Credit Card,Takeaway
25/06/2023,08:16 PM,Margherita Pizza,Main Course,7,10,70,Credit Card,Takeaway
11/11/2023,03:05 PM,Panna Cotta,Dessert,10,5.5,55,Cash,Dine-In
29/04/2023,06:48 AM,Fettuccine Alfredo,Main Course,10,13,130,Mobile Payment,Dine-In
27/02/2023,01:51 AM,Bruschetta,Appetizer,9,5,45,Credit Card,Takeaway
08/01/2023,11:43 AM,Tiramisu,Dessert,7,6.5,45.5,Cash,Takeaway
12/01/2023,11:19 AM,Bruschetta,Appetizer,10,5,50,Credit Card,Dine-In
06/10/2023,05:51 PM,Lasagna,Main Course,5,11.5,57.5,Cash,Delivery
13/03/2023,11:43 PM,Margherita Pizza,Main Course,7,10,70,Mobile Payment,Delivery
26/09/2023,01:29 AM,Lasagna,Main Course,2,11.5,23,Credit Card,Takeaway
12/04/2023,11:46 PM,Panna Cotta,Dessert,9,5.5,49.5,Credit Card,Takeaway
01/12/2023,12:17 AM,Tiramisu,Dessert,3,6.5,19.5,Mobile Payment,Takeaway
05/12/2023,10:31 PM,Fettuccine Alfredo,Main Course,3,13,39,Credit Card,Takeaway
28/11/2023,01:11 PM,Bruschetta,Appetizer,1,5,5,Mobile Payment,Delivery
20/02/2023,10:46 AM,Minestrone Soup,Appetizer,10,7,70,Mobile Payment,Dine-In
05/04/2023,06:47 AM,Caprese Salad,Appetizer,2,8,16,Mobile Payment,Delivery
12/01/2023,01:21 AM,Bruschetta,Appetizer,7,5,35,Cash,Takeaway
07/09/2023,01:25 PM,Spaghetti Carbonara,Main Course,3,12,36,Cash,Delivery
29/06/2023,12:07 PM,Lasagna,Main Course,5,11.5,57.5,Mobile Payment,Takeaway
01/02/2023,09:21 PM,Lasagna,Main Course,2,11.5,23,Credit Card,Delivery
23/05/2023,07:41 AM,Spaghetti Carbonara,Main Course,6,12,72,Cash,Delivery
11/03/2023,02:59 AM,Gelato,Dessert,9,4.5,40.5,Mobile Payment,Delivery
16/11/2023,11:25 PM,Bruschetta,Appetizer,9,5,45,Credit Card,Delivery
19/03/2023,02:33 PM,Lasagna,Main Course,5,11.5,57.5,Cash,Takeaway
04/10/2023,04:29 AM,Bruschetta,Appetizer,8,5,40,Mobile Payment,Delivery
16/12/2023,06:54 AM,Spaghetti Carbonara,Main Course,3,12,36,Mobile Payment,Delivery
25/09/2023,04:36 AM,Gelato,Dessert,10,4.5,45,Mobile Payment,Delivery
21/03/2023,10:50 AM,Tiramisu,Dessert,9,6.5,58.5,Mobile Payment,Delivery
01/03/2023,06:17 AM,Fettuccine Alfredo,Main Course,5,13,65,Mobile Payment,Dine-In
12/06/2023,02:07 PM,Gelato,Dessert,1,4.5,4.5,Cash,Delivery
22/11/2023,09:20 AM,Spaghetti Carbonara,Main Course,5,12,60,Credit Card,Dine-In
04/04/2023,12:53 AM,Panna Cotta,Dessert,2,5.5,11,Cash,Delivery
17/10/2023,08:54 PM,Bruschetta,Appetizer,6,5,30,Credit Card,Dine-In
17/12/2023,12:53 AM,Fettuccine Alfredo,Main Course,2,13,26,Mobile Payment,Takeaway
09/03/2023,05:08 PM,Panna Cotta,Dessert,1,5.5,5.5,Mobile Payment,Delivery
10/07/2023,06:16 AM,Gelato,Dessert,4,4.5,18,Cash,Dine-In
24/03/2023,06:35 AM,Bruschetta,Appetizer,8,5,40,Cash,Dine-In
18/05/2023,02:05 PM,Bruschetta,Appetizer,6,5,30,Credit Card,Dine-In
31/03/2023,02:59 PM,Panna Cotta,Dessert,3,5.5,16.5,Mobile Payment,Takeaway
22/08/2023,08:25 AM,Gelato,Dessert,8,4.5,36,Credit Card,Delivery
13/07/2023,10:40 AM,Gelato,Dessert,9,4.5,40.5,Mobile Payment,Delivery
31/10/2023,06:18 PM,Caprese Salad,Appetizer,5,8,40,Mobile Payment,Dine-In
19/08/2023,03:35 PM,Margherita Pizza,Main Course,2,10,20,Mobile Payment,Delivery
21/07/2023,01:20 AM,Caprese Salad,Appetizer,1,8,8,Mobile Payment,Delivery
26/01/2023,06:28 AM,Lasagna,Main Course,4,11.5,46,Cash,Takeaway
26/05/2023,03:44 PM,Spaghetti Carbonara,Main Course,1,12,12,Cash,Delivery
28/01/2023,11:33 PM,Caprese Salad,Appetizer,2,8,16,Cash,Delivery
19/08/2023,03:05 AM,Caprese Salad,Appetizer,5,8,40,Credit Card,Delivery
22/12/2023,06:39 PM,Spaghetti Carbonara,Main Course,3,12,36,Cash,Takeaway
18/08/2023,12:51 AM,Spaghetti Carbonara,Main Course,7,12,84,Mobile Payment,Delivery
13/04/2023,03:31 PM,Tiramisu,Dessert,9,6.5,58.5,Cash,Delivery
28/11/2023,05:35 AM,Tiramisu,Dessert,8,6.5,52,Credit Card,Delivery
18/08/2023,09:38 PM,Fettuccine Alfredo,Main Course,7,13,91,Mobile Payment,Delivery
15/07/2023,05:27 PM,Panna Cotta,Dessert,9,5.5,49.5,Cash,Delivery
13/07/2023,01:29 AM,Spaghetti Carbonara,Main Course,10,12,120,Mobile Payment,Delivery
17/03/2023,05:32 AM,Spaghetti Carbonara,Main Course,9,12,108,Mobile Payment,Dine-In
02/08/2023,10:30 AM,Lasagna,Main Course,7,11.5,80.5,Cash,Delivery
02/04/2023,04:00 AM,Spaghetti Carbonara,Main Course,7,12,84,Credit Card,Delivery
09/05/2023,12:25 AM,Minestrone Soup,Appetizer,1,7,7,Cash,Delivery
03/01/2023,08:45 PM,Minestrone Soup,Appetizer,4,7,28,Credit Card,Delivery
03/12/2023,04:14 PM,Minestrone Soup,Appetizer,3,7,21,Cash,Dine-In
03/11/2023,08:29 PM,Margherita Pizza,Main Course,1,10,10,Mobile Payment,Takeaway
13/11/2023,09:27 PM,Caprese Salad,Appetizer,5,8,40,Credit Card,Dine-In
16/03/2023,01:52 AM,Fettuccine Alfredo,Main Course,10,13,130,Credit Card,Dine-In
07/12/2023,07:43 PM,Panna Cotta,Dessert,5,5.5,27.5,Cash,Dine-In
26/01/2023,03:43 AM,Gelato,Dessert,1,4.5,4.5,Credit Card,Delivery
25/05/2023,08:51 PM,Panna Cotta,Dessert,7,5.5,38.5,Mobile Payment,Dine-In
21/08/2023,07:45 PM,Fettuccine Alfredo,Main Course,9,13,117,Credit Card,Takeaway
14/06/2023,12:34 PM,Gelato,Dessert,7,4.5,31.5,Cash,Delivery
03/02/2023,09:59 AM,Minestrone Soup,Appetizer,4,7,28,Credit Card,Delivery
20/05/2023,11:14 AM,Caprese Salad,Appetizer,10,8,80,Mobile Payment,Dine-In
